Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Sterling Brown,SG,25,HOU,43,11,24.3,2.8,6.5,.434,1.7,4.2,.401,1.1,2.3,.495,.565,0.5,0.5,.909,0.8,3.8,4.7,1.5,0.8,0.3,0.8,2.0,7.8
Troy Brown Jr.,SF,21,TOT,22,0,13.7,1.6,4.2,.387,0.7,2.1,.319,1.0,2.1,.457,.468,0.5,0.7,.688,0.5,2.3,2.8,1.0,0.1,0.2,0.7,1.4,4.5
Troy Brown Jr.,SF,21,WAS,21,0,13.7,1.6,4.2,.371,0.7,2.2,.304,0.9,2.0,.442,.449,0.5,0.7,.667,0.5,2.4,2.9,0.9,0.1,0.2,0.8,1.4,4.3
Jalen Brunson,PG,24,DAL,40,10,25.1,4.7,8.8,.531,1.2,3.1,.393,3.5,5.8,.604,.599,2.0,2.6,.794,0.3,3.2,3.5,3.3,0.5,0.0,1.4,1.6,12.6
Thomas Bryant,C,23,WAS,10,10,27.1,5.9,9.1,.648,0.9,2.1,.429,5.0,7.0,.714,.698,1.6,2.4,.667,1.8,4.3,6.1,1.5,0.4,0.8,1.1,3.1,14.3
Reggie Bullock,SF,29,NYK,39,38,27.8,3.3,7.9,.417,2.1,5.2,.394,1.3,2.7,.462,.547,0.6,0.7,.857,0.3,3.1,3.4,1.4,0.7,0.2,0.7,2.3,9.3
Trey Burke,PG,28,DAL,43,0,15.1,2.5,5.7,.447,1.1,2.8,.380,1.5,2.9,.512,.541,0.8,0.9,.868,0.1,0.8,1.0,1.5,0.5,0.1,0.5,1.1,6.9
Alec Burks,SG,29,NYK,34,5,26.4,4.5,10.6,.422,2.0,5.0,.406,2.4,5.6,.437,.518,2.3,2.6,.856,0.5,4.0,4.6,2.2,0.8,0.3,1.1,2.1,13.2
Jimmy Butler,SF,31,MIA,31,31,33.5,7.1,14.7,.479,0.4,1.9,.217,6.6,12.8,.519,.493,6.7,7.9,.850,2.1,5.7,7.8,7.3,2.0,0.4,2.3,1.4,21.3
Bruno Caboclo,PF,25,HOU,6,0,6.0,1.3,2.8,.471,0.0,0.8,.000,1.3,2.0,.667,.471,0.2,0.3,.500,0.5,1.8,2.3,0.2,0.0,0.3,0.7,1.0,2.8
Devontae Cacok,PF,24,LAL,9,1,5.0,1.0,1.6,.643,0.0,0.0,0,1.0,1.6,.643,.643,0.0,0.2,.000,0.4,1.0,1.4,0.1,0.4,0.1,0.2,0.4,2.0
Kentavious Caldwell-Pope,SG,27,LAL,42,42,26.2,2.9,6.8,.423,1.5,3.7,.401,1.4,3.1,.450,.533,1.3,1.5,.869,0.4,2.0,2.4,1.5,0.8,0.3,1.0,1.5,8.5
Facundo Campazzo,PG,29,DEN,39,1,17.6,1.5,4.1,.369,1.0,2.8,.345,0.5,1.3,.420,.488,0.8,1.1,.805,0.2,1.2,1.4,2.7,1.0,0.2,0.8,2.0,4.8
Vlatko Čančar,PF,23,DEN,24,0,6.0,0.5,1.3,.406,0.2,0.7,.235,0.4,0.6,.600,.469,0.2,0.3,.833,0.2,1.0,1.2,0.3,0.3,0.1,0.4,0.5,1.5
Clint Capela,C,26,ATL,39,39,29.3,6.4,10.9,.589,0.0,0.0,0,6.4,10.9,.589,.589,1.8,3.3,.550,5.0,9.2,14.3,0.9,0.7,2.2,1.3,2.3,14.7
Vernon Carey Jr.,C,19,CHO,7,0,3.6,0.3,0.6,.500,0.0,0.1,.000,0.3,0.4,.667,.500,0.1,0.3,.500,0.3,1.0,1.3,0.1,0.0,0.1,0.1,0.0,0.7
Jevon Carter,PG,25,PHO,34,0,9.5,1.1,2.8,.379,0.6,1.9,.328,0.4,0.9,.484,.489,0.1,0.1,1.000,0.1,1.1,1.1,1.1,0.4,0.2,0.2,1.0,2.8
Wendell Carter Jr.,C,21,CHI,32,25,24.8,4.0,7.9,.512,0.3,0.7,.364,3.8,7.2,.526,.528,2.6,3.5,.739,2.2,5.6,7.8,2.2,0.6,0.8,1.5,3.0,10.9
Michael Carter-Williams,SG,29,ORL,24,18,26.7,3.5,8.9,.394,0.5,1.9,.239,3.0,7.0,.437,.420,1.6,2.3,.679,1.4,3.2,4.6,4.3,0.5,0.5,2.4,3.0,9.0
Alex Caruso,PG,26,LAL,36,0,19.9,2.0,4.8,.408,0.9,2.2,.388,1.1,2.6,.426,.497,0.8,1.3,.667,0.6,2.4,3.0,2.4,1.1,0.2,1.1,1.8,5.6
Willie Cauley-Stein,C,27,DAL,35,11,17.1,2.3,3.6,.622,0.0,0.2,.125,2.2,3.4,.655,.626,0.9,1.4,.660,1.1,3.1,4.3,0.7,0.3,0.8,0.5,2.3,5.5
Chris Chiozza,PG,25,BRK,16,0,10.3,1.3,3.9,.333,0.7,2.0,.344,0.6,1.9,.323,.421,0.6,0.8,.769,0.2,0.8,1.0,2.9,0.4,0.3,0.7,0.7,3.9
Marquese Chriss,PF,23,GSW,2,0,13.5,2.5,7.0,.357,0.5,2.5,.200,2.0,4.5,.444,.393,1.0,2.0,.500,1.5,5.0,6.5,1.0,0.0,1.0,1.0,1.5,6.5
Gary Clark,SF,26,ORL,35,11,18.2,1.1,3.7,.305,0.9,3.1,.287,0.3,0.7,.391,.424,0.2,0.3,.800,0.9,2.3,3.2,0.9,0.3,0.2,0.5,1.0,3.4
Brandon Clarke,PF,24,MEM,38,16,25.9,4.9,9.4,.525,0.5,1.5,.321,4.4,7.9,.563,.551,1.4,2.1,.675,1.6,4.1,5.6,1.7,1.1,0.8,0.6,1.5,11.7
Jordan Clarkson,SG,28,UTA,45,0,25.7,6.3,14.9,.425,3.1,8.6,.356,3.3,6.3,.521,.528,1.6,1.7,.948,0.8,3.1,4.0,2.2,0.9,0.2,1.8,1.4,17.4
Nicolas Claxton,C,21,BRK,14,0,19.2,3.8,6.1,.616,0.1,0.3,.250,3.7,5.9,.634,.622,1.3,2.4,.545,1.2,3.2,4.4,0.8,0.7,1.4,0.6,1.9,8.9
Amir Coffey,SG,23,LAC,29,0,7.8,1.1,2.2,.484,0.6,1.3,.436,0.5,0.9,.560,.617,0.3,0.6,.529,0.2,0.5,0.7,0.5,0.2,0.0,0.4,0.4,3.0
John Collins,PF,23,ATL,45,45,30.7,7.2,13.2,.547,1.3,3.4,.386,5.9,9.8,.603,.596,2.8,3.3,.838,2.2,5.7,7.9,1.3,0.5,1.1,1.2,3.3,18.6
Mike Conley,PG,33,UTA,36,36,29.6,5.6,12.5,.448,2.7,6.5,.417,2.9,5.9,.481,.557,2.2,2.6,.832,0.8,2.7,3.5,5.5,1.4,0.1,2.0,1.9,16.1
Pat Connaughton,SG,28,MIL,42,1,22.7,2.5,5.5,.452,1.5,3.7,.410,1.0,1.8,.541,.591,0.5,0.6,.769,1.0,3.6,4.7,1.4,0.7,0.4,0.5,1.6,7.0
Quinn Cook,PG,27,TOT,23,0,6.8,1.3,3.0,.426,0.5,1.1,.423,0.8,1.8,.429,.507,0.3,0.3,.875,0.1,0.7,0.7,0.8,0.2,0.0,0.3,0.4,3.3
Quinn Cook,PG,27,LAL,16,0,3.9,0.8,1.6,.462,0.3,0.8,.385,0.4,0.8,.538,.558,0.3,0.3,.800,0.0,0.3,0.3,0.3,0.1,0.1,0.2,0.1,2.1
Quinn Cook,PG,27,CLE,7,0,13.6,2.4,6.0,.405,0.9,1.9,.462,1.6,4.1,.379,.476,0.4,0.4,1.000,0.3,1.4,1.7,1.9,0.4,0.0,0.6,1.1,6.1
Tyler Cook,PF,23,TOT,9,0,7.9,0.8,1.6,.500,0.0,0.0,0,0.8,1.6,.500,.500,0.1,0.2,.500,0.7,1.2,1.9,0.2,0.1,0.0,0.4,0.7,1.7
Tyler Cook,PF,23,BRK,4,0,4.3,0.3,0.8,.333,0.0,0.0,0,0.3,0.8,.333,.333,0.0,0.0,0,0.3,0.3,0.5,0.5,0.0,0.0,0.3,0.5,0.5
DeMarcus Cousins,C,30,HOU,25,11,20.2,3.2,8.4,.376,1.6,4.6,.336,1.6,3.8,.426,.469,1.8,2.4,.746,1.2,6.4,7.6,2.4,0.8,0.7,1.6,3.0,9.6
Robert Covington,PF,30,POR,43,43,32.3,3.0,7.4,.406,2.0,5.3,.382,1.0,2.1,.467,.542,0.7,0.9,.811,0.7,6.0,6.7,1.7,1.6,1.2,1.1,2.7,8.8
Torrey Craig,SF,30,TOT,22,0,11.8,1.3,3.0,.424,0.5,1.4,.387,0.7,1.6,.457,.515,0.1,0.2,.750,0.8,1.8,2.6,1.0,0.5,0.4,0.3,1.5,3.2
Torrey Craig,SF,30,MIL,18,0,11.2,1.0,2.6,.391,0.4,1.2,.364,0.6,1.3,.417,.478,0.1,0.1,.500,0.7,1.7,2.4,0.9,0.5,0.4,0.3,1.3,2.5
Jae Crowder,PF,30,PHO,41,26,27.7,3.5,8.5,.407,2.4,6.3,.385,1.0,2.2,.472,.550,0.9,1.0,.814,0.4,4.5,5.0,2.0,0.8,0.3,0.8,1.8,10.2
Jarrett Culver,SG,21,MIN,23,7,17.7,2.5,6.0,.416,0.3,1.7,.211,2.1,4.3,.495,.445,1.0,1.7,.590,1.3,2.7,4.0,0.7,0.6,0.3,1.0,2.0,6.3
Seth Curry,SG,30,PHI,35,35,29.4,4.6,10.0,.464,2.0,4.7,.430,2.6,5.3,.495,.566,1.7,1.8,.921,0.2,2.0,2.2,2.9,0.9,0.2,1.4,1.7,12.9
Stephen Curry,PG,32,GSW,39,39,33.7,9.6,20.2,.475,4.7,11.4,.408,4.9,8.8,.563,.591,5.1,5.5,.930,0.5,4.9,5.3,6.2,1.4,0.1,3.1,1.8,29.0
Nate Darling,SG,22,CHO,2,0,3.5,0.5,2.0,.250,0.5,2.0,.250,0.0,0.0,0,.375,0.0,0.0,0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.5
Anthony Davis,PF,27,LAL,23,23,32.8,8.9,16.7,.533,0.7,2.5,.293,8.1,14.1,.575,.555,4.0,5.7,.715,2.0,6.3,8.4,3.0,1.3,1.8,2.0,1.8,22.5
Ed Davis,C,31,MIN,19,7,13.9,0.9,2.3,.419,0.0,0.0,0,0.9,2.3,.419,.419,0.4,0.4,.875,2.0,3.1,5.1,1.0,0.5,0.5,0.3,2.6,2.3
Terence Davis,SG,23,TOT,35,4,14.6,2.5,6.2,.412,1.3,3.6,.354,1.3,2.5,.494,.516,0.5,0.6,.850,0.3,1.7,1.9,1.1,0.5,0.2,0.9,1.4,6.9
Terence Davis,SG,23,TOR,34,4,14.5,2.6,6.2,.414,1.3,3.6,.361,1.3,2.6,.489,.519,0.5,0.5,.889,0.3,1.7,1.9,1.1,0.5,0.2,0.9,1.4,6.9
DeMar DeRozan,PF,31,SAS,36,36,33.9,7.1,14.4,.491,0.5,1.6,.305,6.6,12.7,.515,.509,5.9,6.7,.880,0.6,3.8,4.4,7.1,1.1,0.3,1.8,1.9,20.5
Mamadi Diakite,PF,24,MIL,4,0,10.0,1.5,3.5,.429,0.0,0.8,.000,1.5,2.8,.545,.429,0.0,0.0,0,1.0,2.3,3.3,1.0,0.0,1.0,0.0,1.3,3.0
Hamidou Diallo,SG,22,TOT,33,5,23.6,4.4,9.1,.482,0.4,1.2,.293,4.0,7.9,.512,.502,2.6,4.1,.634,1.1,3.9,5.1,2.3,0.9,0.4,1.5,2.6,11.7
Hamidou Diallo,SG,22,OKC,32,5,23.8,4.5,9.3,.481,0.4,1.3,.293,4.1,8.0,.512,.502,2.6,4.1,.629,1.2,4.0,5.2,2.4,1.0,0.4,1.5,2.6,11.9
Gorgui Dieng,C,31,MEM,22,1,16.9,2.5,4.9,.519,1.0,2.2,.479,1.5,2.7,.550,.625,1.7,2.0,.884,1.3,3.2,4.5,1.3,0.8,0.6,1.0,1.7,7.9
Spencer Dinwiddie,SG,27,BRK,3,3,21.3,2.0,5.3,.375,0.7,2.3,.286,1.3,3.0,.444,.438,2.0,2.0,1.000,0.0,4.3,4.3,3.0,0.7,0.3,1.7,1.3,6.7
Donte DiVincenzo,SG,24,MIL,44,44,27.3,4.0,9.5,.423,2.0,5.1,.385,2.0,4.4,.469,.528,0.7,1.0,.674,1.3,4.2,5.4,3.0,1.1,0.2,1.4,1.5,10.7
Luka Dončić,PG,21,DAL,39,39,35.2,10.1,20.9,.482,2.9,8.0,.367,7.2,13.0,.553,.552,5.5,7.3,.748,0.8,7.5,8.3,9.1,1.0,0.6,4.3,2.1,28.6
Luguentz Dort,SG,21,OKC,41,41,29.3,4.3,11.2,.386,2.0,6.0,.327,2.4,5.2,.453,.473,2.0,2.6,.764,0.7,2.8,3.4,1.6,0.9,0.4,1.4,2.4,12.6
Damyean Dotson,SG,26,CLE,34,6,18.9,2.5,6.3,.395,0.9,3.3,.277,1.6,3.0,.524,.467,0.6,0.9,.688,0.1,1.8,1.9,2.2,0.4,0.1,0.8,0.9,6.6
Devon Dotson,PG,21,CHI,2,0,5.5,1.0,2.0,.500,0.0,0.0,0,1.0,2.0,.500,.500,0.0,0.0,0,0.5,0.5,1.0,0.0,0.5,0.0,0.0,0.5,2.0
Sekou Doumbouya,PF,20,DET,40,2,12.6,1.3,3.9,.340,0.4,1.8,.243,0.9,2.2,.419,.394,0.6,0.8,.733,0.5,1.6,2.1,0.6,0.4,0.1,0.7,1.4,3.6
PJ Dozier,SG,24,DEN,30,0,20.3,2.8,6.3,.439,1.0,2.6,.372,1.8,3.7,.486,.516,1.0,1.5,.630,0.8,3.0,3.8,1.6,0.5,0.5,0.8,1.8,7.5
Goran Dragić,PG,34,MIA,28,8,27.0,5.0,11.3,.441,1.6,4.6,.349,3.4,6.6,.505,.513,2.3,2.8,.844,0.3,3.0,3.3,4.9,0.6,0.2,2.7,2.3,13.9
Andre Drummond,C,27,CLE,25,25,28.9,7.2,15.2,.474,0.0,0.3,.000,7.2,14.9,.484,.474,3.1,5.2,.597,4.0,9.4,13.5,2.6,1.6,1.2,3.2,2.8,17.5
Jared Dudley,PF,35,LAL,11,0,6.9,0.2,0.6,.286,0.2,0.5,.400,0.0,0.2,.000,.429,0.0,0.0,0,0.4,1.4,1.7,0.5,0.1,0.1,0.2,0.6,0.5
Kevin Durant,PF,32,BRK,19,18,35.7,9.9,18.9,.524,2.6,5.9,.434,7.3,12.9,.565,.592,6.6,7.6,.869,0.4,6.9,7.3,5.3,0.7,1.4,3.5,2.3,29.0
Anthony Edwards,SG,19,MIN,46,29,30.5,6.3,16.3,.385,2.2,6.8,.315,4.1,9.5,.436,.451,2.3,3.0,.775,0.8,3.5,4.3,2.5,1.0,0.3,1.9,1.7,17.0
Carsen Edwards,SG,22,BOS,18,1,10.1,2.1,4.3,.481,0.7,2.2,.333,1.3,2.1,.632,.565,0.4,0.5,.778,0.1,0.9,1.1,0.5,0.3,0.1,0.2,1.1,5.2
CJ Elleby,SF,20,POR,14,0,8.4,1.0,2.4,.412,0.4,1.5,.238,0.6,0.9,.692,.485,0.4,0.6,.667,0.4,0.7,1.1,0.2,0.3,0.2,0.2,1.3,2.8
Henry Ellenson,PF,24,TOR,2,0,19.0,2.5,7.0,.357,1.0,4.5,.222,1.5,2.5,.600,.429,1.5,2.0,.750,1.5,4.5,6.0,2.5,0.0,0.0,0.0,3.5,7.5
Wayne Ellington,SG,33,DET,33,27,23.3,3.7,8.0,.457,2.8,6.4,.429,0.9,1.6,.566,.628,0.7,0.9,.774,0.2,1.6,1.8,1.4,0.5,0.2,0.7,1.5,10.8
Joel Embiid,C,26,PHI,31,31,32.6,9.5,18.0,.525,1.2,2.9,.422,8.2,15.1,.545,.559,9.8,11.4,.859,2.2,9.3,11.5,3.3,1.2,1.4,3.2,2.5,29.9
James Ennis,SF,30,ORL,28,24,22.1,2.6,5.2,.500,1.1,2.4,.455,1.5,2.9,.538,.603,1.5,1.9,.792,1.1,2.9,4.0,1.4,0.8,0.2,0.9,2.0,7.8
Drew Eubanks,C,23,SAS,26,0,12.9,1.7,3.5,.484,0.0,0.0,1.000,1.7,3.5,.478,.489,1.1,1.5,.700,0.7,2.7,3.3,0.9,0.2,1.0,0.8,1.3,4.5
Dante Exum,SG,25,CLE,6,3,19.3,1.7,4.3,.385,0.3,1.8,.182,1.3,2.5,.533,.423,0.2,0.3,.500,0.3,2.5,2.8,2.2,0.7,0.3,1.2,1.5,3.8
Tacko Fall,C,25,BOS,12,0,6.8,1.3,1.8,.727,0.0,0.0,0,1.3,1.8,.727,.727,0.3,0.9,.273,0.8,1.8,2.5,0.2,0.0,0.8,0.2,1.1,2.9
Derrick Favors,C,29,UTA,43,0,15.9,2.4,3.7,.640,0.0,0.0,.000,2.4,3.7,.644,.640,1.1,1.5,.738,2.1,3.4,5.5,0.8,0.5,1.0,0.6,2.3,5.9
Cristiano Felício,C,28,CHI,8,0,5.3,0.4,0.5,.750,0.0,0.0,0,0.4,0.5,.750,.750,0.8,1.3,.600,0.8,0.8,1.5,0.6,0.3,0.0,0.4,0.4,1.5
Terrance Ferguson,SG,22,PHI,13,0,3.8,0.1,0.5,.143,0.0,0.4,.000,0.1,0.2,.500,.143,0.0,0.0,0,0.0,0.1,0.1,0.2,0.1,0.0,0.3,0.5,0.2
Bruno Fernando,C,22,ATL,22,0,7.5,0.5,1.2,.407,0.0,0.1,.000,0.5,1.1,.440,.407,0.4,0.7,.600,0.6,2.3,2.9,0.4,0.1,0.1,0.7,0.8,1.4
Yogi Ferrell,PG,27,CLE,2,0,20.0,4.0,10.5,.381,1.5,4.5,.333,2.5,6.0,.417,.452,0.0,1.0,.000,1.5,2.0,3.5,2.5,1.5,0.5,1.5,2.0,9.5
Dorian Finney-Smith,PF,27,DAL,33,33,31.4,3.1,7.1,.432,1.6,4.6,.344,1.5,2.5,.590,.543,0.6,0.7,.913,1.5,3.7,5.2,1.5,0.9,0.4,0.7,2.6,8.3
Malachi Flynn,PG,22,TOR,20,0,9.5,0.9,3.2,.270,0.4,1.8,.194,0.5,1.4,.370,.325,0.2,0.3,.667,0.1,0.8,0.8,1.2,0.3,0.0,0.3,0.8,2.3
Bryn Forbes,SG,27,MIL,44,6,19.1,3.4,7.4,.457,2.1,4.7,.447,1.3,2.6,.474,.600,0.6,0.8,.765,0.2,1.1,1.3,0.6,0.2,0.0,0.5,1.0,9.4
Trent Forrest,PG,22,UTA,11,0,3.6,0.3,0.7,.375,0.0,0.2,.000,0.3,0.5,.500,.375,0.2,0.2,1.000,0.0,0.5,0.5,0.6,0.2,0.0,0.4,0.2,0.7
Evan Fournier,SF,28,ORL,26,26,30.3,6.5,14.2,.461,2.8,7.2,.388,3.7,7.0,.536,.560,3.8,4.7,.797,0.2,2.7,2.9,3.7,1.0,0.3,2.1,2.1,19.7
De'Aaron Fox,PG,23,SAC,45,45,34.8,9.0,18.6,.486,1.8,5.6,.332,7.2,13.1,.551,.535,4.9,7.0,.703,0.6,2.8,3.4,7.3,1.4,0.4,3.1,3.0,24.8
Tim Frazier,PG,30,MEM,3,0,11.0,0.7,2.7,.250,0.0,0.7,.000,0.7,2.0,.333,.250,0.0,0.0,0,0.0,1.3,1.3,2.3,0.3,0.0,1.0,1.3,1.3
Markelle Fultz,PG,22,ORL,8,8,26.9,5.1,13.0,.394,0.5,2.0,.250,4.6,11.0,.420,.413,2.1,2.4,.895,0.6,2.5,3.1,5.4,1.0,0.3,2.3,2.3,12.9
Wenyen Gabriel,PF,23,NOP,6,0,3.3,0.0,0.7,.000,0.0,0.2,.000,0.0,0.5,.000,.000,0.2,0.3,.500,0.3,0.8,1.2,0.3,0.0,0.0,0.5,0.2,0.2
Daniel Gafford,PF,22,TOT,32,11,12.4,2.1,2.9,.702,0.0,0.0,0,2.1,2.9,.702,.702,0.9,1.3,.667,1.4,2.0,3.4,0.5,0.4,1.2,0.8,1.7,5.0
Daniel Gafford,PF,22,CHI,31,11,12.4,1.9,2.8,.690,0.0,0.0,0,1.9,2.8,.690,.690,0.9,1.3,.659,1.4,1.9,3.3,0.5,0.4,1.1,0.7,1.7,4.7
Danilo Gallinari,PF,32,ATL,33,4,23.4,3.8,9.2,.421,2.1,5.2,.404,1.8,4.0,.443,.535,2.9,3.2,.933,0.2,3.5,3.8,1.5,0.6,0.2,1.0,1.9,12.7
Langston Galloway,SG,29,PHO,32,0,11.3,1.8,3.7,.479,1.0,2.2,.457,0.8,1.5,.510,.613,0.5,0.5,1.000,0.2,0.9,1.0,0.7,0.2,0.0,0.3,0.7,5.1
Darius Garland,PG,21,CLE,37,34,33.1,6.4,14.6,.438,1.8,4.4,.396,4.6,10.1,.456,.498,2.1,2.5,.835,0.5,1.8,2.2,5.7,1.1,0.1,3.0,2.3,16.6
Marc Gasol,C,36,LAL,37,37,19.8,1.5,3.8,.410,0.9,2.4,.364,0.7,1.4,.490,.525,0.8,1.1,.775,0.7,3.3,4.0,1.9,0.5,1.2,0.9,2.3,4.8
Rudy Gay,PF,34,SAS,36,0,21.6,4.0,9.7,.409,1.6,4.2,.387,2.4,5.6,.425,.491,1.3,1.6,.780,0.8,4.2,5.0,1.5,0.7,0.6,1.1,1.8,10.8
Paul George,SF,30,LAC,36,36,33.5,8.0,16.9,.473,3.2,7.5,.426,4.8,9.4,.510,.568,3.3,3.8,.882,0.9,5.4,6.3,5.5,1.1,0.5,3.2,2.3,22.5
Taj Gibson,PF,35,NYK,19,1,19.3,1.8,3.3,.548,0.2,0.7,.231,1.6,2.6,.633,.573,0.8,1.4,.615,1.8,3.1,4.9,0.7,0.5,0.7,0.6,2.0,4.6
Harry Giles,C,22,POR,23,0,11.8,1.1,2.8,.406,0.1,0.4,.333,1.0,2.4,.418,.430,0.6,0.8,.722,1.2,3.7,4.9,0.9,0.2,0.4,0.7,2.0,3.0
Shai Gilgeous-Alexander,SG,22,OKC,35,35,33.7,8.2,16.1,.508,2.0,4.9,.418,6.2,11.3,.547,.571,5.3,6.5,.808,0.5,4.2,4.7,5.9,0.8,0.7,3.0,2.0,23.7
Anthony Gill,PF,28,WAS,13,1,5.5,0.3,0.9,.333,0.1,0.6,.125,0.2,0.3,.750,.375,0.2,0.3,.750,0.2,1.2,1.5,0.3,0.2,0.2,0.2,0.2,0.9
Rudy Gobert,C,28,UTA,45,45,30.8,5.6,8.6,.650,0.0,0.1,.000,5.6,8.5,.655,.650,3.5,5.7,.609,3.4,9.8,13.3,1.2,0.5,2.9,1.6,2.4,14.6
Brandon Goodwin,PG,25,ATL,28,0,10.7,1.3,4.0,.330,0.5,2.0,.273,0.8,2.0,.386,.397,0.6,0.9,.708,0.1,0.9,1.0,1.5,0.4,0.0,0.6,0.8,3.8
Aaron Gordon,PF,25,ORL,25,25,29.4,5.1,11.7,.437,1.7,4.5,.375,3.4,7.2,.475,.509,2.6,4.2,.629,1.6,5.1,6.6,4.2,0.6,0.8,2.7,2.0,14.6
Eric Gordon,SG,32,HOU,27,13,29.2,5.9,13.6,.433,2.6,7.8,.329,3.3,5.8,.573,.527,3.5,4.2,.825,0.3,1.9,2.1,2.6,0.5,0.5,1.9,1.6,17.8
Devonte' Graham,PG,25,CHO,34,28,30.0,4.2,11.4,.373,2.9,7.8,.377,1.3,3.6,.364,.503,2.0,2.5,.800,0.4,2.2,2.6,5.2,0.9,0.1,1.5,1.4,13.4
Jerami Grant,SF,26,DET,42,42,35.2,7.5,17.6,.426,2.3,6.5,.353,5.2,11.2,.469,.491,5.6,6.5,.868,0.7,4.2,4.9,2.8,0.7,1.1,2.0,2.5,23.0
Danny Green,SF,33,PHI,46,46,28.7,3.4,8.2,.415,2.6,6.4,.406,0.8,1.8,.446,.573,0.4,0.5,.708,0.8,2.8,3.6,1.6,1.3,0.8,1.2,1.9,9.7
Draymond Green,PF,30,GSW,39,39,29.9,2.2,5.6,.397,0.5,1.9,.243,1.8,3.7,.476,.438,1.1,1.4,.774,0.8,5.6,6.4,8.4,1.4,0.8,2.8,3.2,6.0
JaMychal Green,PF,30,DEN,33,4,19.3,3.1,6.8,.447,1.5,3.7,.393,1.6,3.2,.510,.553,0.9,1.0,.853,1.5,3.8,5.3,0.8,0.5,0.3,1.0,2.8,8.5
Javonte Green,SG,27,TOT,26,2,13.7,1.5,2.8,.534,0.3,0.9,.304,1.2,1.9,.640,.582,0.8,1.2,.667,0.8,1.4,2.2,0.4,0.7,0.2,0.6,1.3,4.0
Javonte Green,SG,27,BOS,25,2,13.8,1.6,2.8,.549,0.3,0.9,.318,1.3,2.0,.653,.599,0.8,1.2,.667,0.8,1.3,2.1,0.4,0.7,0.1,0.5,1.3,4.2
Jeff Green,C,34,BRK,42,22,26.9,3.4,6.9,.491,1.3,3.3,.409,2.0,3.6,.566,.588,1.5,2.0,.759,0.5,3.2,3.8,1.4,0.5,0.3,0.8,1.8,9.6
Josh Green,SG,20,DAL,22,5,10.8,1.0,2.2,.458,0.1,0.6,.154,0.9,1.6,.571,.479,0.3,0.6,.538,0.6,1.3,1.9,0.5,0.2,0.0,0.6,0.8,2.4
Blake Griffin,PF,31,TOT,23,20,29.6,3.9,10.3,.381,1.8,5.6,.328,2.1,4.7,.444,.470,2.2,3.0,.714,0.4,4.6,5.0,3.4,0.7,0.1,1.5,2.2,11.8
Blake Griffin,PF,31,DET,20,20,31.3,4.1,11.1,.365,2.0,6.2,.315,2.1,4.9,.429,.453,2.2,3.1,.710,0.4,4.9,5.2,3.9,0.7,0.1,1.6,2.1,12.3
Kyle Guy,PG,23,SAC,18,0,7.9,1.1,3.0,.370,0.6,1.7,.323,0.6,1.3,.435,.463,0.4,0.6,.800,0.2,1.0,1.2,1.1,0.2,0.0,0.2,0.8,3.2
Rui Hachimura,PF,22,WAS,37,37,31.4,5.1,10.6,.480,0.9,2.7,.337,4.2,7.9,.529,.523,2.5,3.2,.765,0.9,5.1,5.9,1.5,0.8,0.1,1.2,2.2,13.6
Ashton Hagans,PG,21,MIN,2,0,2.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
Tyrese Haliburton,PG,20,SAC,40,9,30.1,5.0,10.3,.488,2.3,5.2,.431,2.8,5.1,.547,.597,0.8,1.0,.868,0.8,2.5,3.3,4.9,1.3,0.6,1.6,1.4,13.1
Josh Hall,SF,20,OKC,8,0,9.0,0.6,2.9,.217,0.1,1.4,.091,0.5,1.5,.333,.239,0.6,1.6,.385,0.1,1.6,1.8,1.0,0.0,0.0,0.6,1.1,2.0
R.J. Hampton,PG,19,DEN,25,0,9.3,1.0,2.4,.417,0.2,0.7,.278,0.8,1.7,.476,.458,0.4,0.5,.750,0.4,1.6,2.0,0.6,0.2,0.1,0.4,0.9,2.6
Tim Hardaway Jr.,SG,28,DAL,43,19,29.5,6.0,13.2,.450,3.0,7.7,.395,2.9,5.6,.525,.564,1.9,2.4,.784,0.3,3.1,3.4,1.8,0.5,0.1,0.9,1.6,16.8
James Harden,SG,31,HOU,8,8,36.3,7.5,16.9,.444,3.1,9.0,.347,4.4,7.9,.556,.537,6.6,7.5,.883,0.6,4.5,5.1,10.4,0.9,0.8,4.3,1.8,24.8
James Harden,PG,31,BRK,31,31,38.6,8.3,17.8,.468,2.8,7.8,.362,5.5,9.9,.552,.548,6.5,7.6,.860,0.9,7.9,8.9,11.4,1.4,0.7,4.2,2.5,26.0
Maurice Harkless,SF,27,TOT,12,3,11.3,0.4,1.2,.357,0.4,1.0,.417,0.0,0.2,.000,.536,0.0,0.2,.000,0.3,0.9,1.2,0.8,0.2,0.3,0.4,1.3,1.3
Maurice Harkless,SF,27,MIA,11,3,11.3,0.5,1.2,.385,0.5,1.0,.455,0.0,0.2,.000,.577,0.0,0.2,.000,0.2,1.0,1.2,0.6,0.2,0.4,0.3,1.3,1.4
